"Variable" "Componente1" "Componente2" "Componente3" "Componente4" "Componente5"
"alimento93" "alimento93" 0.01 -0.01 -0.03 -0.02 0.03
"alimento94" "alimento94" 0.03 0.03 -0.02 0.03 0.03
"alimento95" "alimento95" -0.01 0.04 0.02 0.01 -0.03
"alimento96" "alimento96" -0.01 -0.02 0.01 0.05 -0.02
"alimento97" "alimento97" 0.1 0.13 0.08 -0.02 0.13
"alimento98" "alimento98" 0.05 0.14 0.13 0.02 0.07
"alimento99" "alimento99" 0.05 0.2 0.16 -0.03 0.05
"alimento100" "alimento100" 0.03 0.12 0.09 -0.01 0.03
"alimento101" "alimento101" 0.06 0.19 0.16 -0.03 0.06
"alimento102" "alimento102" 0.12 0.13 0.16 0.02 0.12
"alimento103" "alimento103" 0.1 0.2 0.11 0.06 0.11
"alimento104" "alimento104" 0.05 0.13 0.04 0.07 0.06
"alimento105" "alimento105" 0.09 0.14 0.17 0.02 0.18
"alimento106" "alimento106" 0.11 0.13 0.1 0.08 0.2
"alimento107" "alimento107" 0.12 0.16 0.11 0.03 0.18
"alimento108" "alimento108" 0.03 0.14 -0.07 0.02 -0.2
"alimento109" "alimento109" 0.05 0.12 -0.07 0.06 -0.09
"alimento110" "alimento110" 0.02 0.15 -0.06 -0.01 -0.18
"alimento111" "alimento111" 0.01 0.17 -0.04 0.06 -0.15
"alimento112" "alimento112" -0.02 0.14 -0.07 0.06 -0.14
"alimento113" "alimento113" 0.01 0.22 0.03 0.04 -0.07
"alimento114" "alimento114" 0.07 0.06 -0.11 0.1 0.09
"alimento115" "alimento115" 0.23 -0.06 0.05 0.02 0
"alimento116" "alimento116" 0.16 -0.06 0.04 0.06 0.04
"alimento117" "alimento117" 0.05 0.06 0.04 0.01 0.06
"alimento118" "alimento118" 0.11 -0.03 -0.01 -0.1 0.04
"alimento119" "alimento119" 0.08 0.15 0.04 -0.1 0.06
"alimento120" "alimento120" 0.08 0.05 0.15 -0.12 0.01
"alimento121" "alimento121" 0.12 -0.12 -0.15 0.09 0.14
"alimento122" "alimento122" 0.11 0.32 0.18 0 0.05
"alimento123" "alimento123" 0.08 0.25 0.17 -0.04 0
"alimento124" "alimento124" 0.11 0.26 0.08 0.19 0.08
"alimento125" "alimento125" 0.07 0.24 0.12 0.03 0.06
"alimento126" "alimento126" 0.06 0.08 0.03 0.03 0.01
"alimento127" "alimento127" 0.09 0.12 0.1 -0.09 0.08
"alimento128" "alimento128" 0.02 0.28 0.2 -0.03 0.06
"alimento129" "alimento129" 0.09 -0.12 -0.09 -0.1 0.09
"alimento130" "alimento130" 0.06 0.09 0.17 -0.09 0.13
"alimento131" "alimento131" 0.1 0.01 0.05 0.02 0.11
"nutriente1" "nutriente1" 0.74 0.1 0.02 -0.36 0.22
