"Variable" "Test" "Valor.p" "Interpretacion"
"74" "alimento74" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"75" "alimento75" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"76" "alimento76" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"77" "alimento77" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"78" "alimento78" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"79" "alimento79" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"80" "alimento80" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"81" "alimento81" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"82" "alimento82" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"83" "alimento83" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"84" "alimento84" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"85" "alimento85" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"86" "alimento86" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"87" "alimento87" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"88" "alimento88" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"89" "alimento89" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"90" "alimento90" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"91" "alimento91" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"92" "alimento92" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"93" "alimento93" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"94" "alimento94" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"95" "alimento95" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"96" "alimento96" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"97" "alimento97" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"98" "alimento98" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"99" "alimento99" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"100" "alimento100" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"101" "alimento101" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"102" "alimento102" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"103" "alimento103" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"104" "alimento104" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"105" "alimento105" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"106" "alimento106" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"107" "alimento107" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"108" "alimento108" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"109" "alimento109" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"110" "alimento110" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"111" "alimento111" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"112" "alimento112" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"113" "alimento113" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"114" "alimento114" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"115" "alimento115" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"116" "alimento116" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"117" "alimento117" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"118" "alimento118" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"119" "alimento119" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"120" "alimento120" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"121" "alimento121" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"122" "alimento122" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"123" "alimento123" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"124" "alimento124" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"125" "alimento125" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"126" "alimento126" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"127" "alimento127" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"128" "alimento128" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"129" "alimento129" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"130" "alimento130" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"131" "alimento131" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"132" "nutriente1" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"133" "nutriente2" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"134" "nutriente3" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"135" "nutriente4" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"136" "nutriente5" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"137" "nutriente6" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"138" "nutriente7" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"139" "nutriente8" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"140" "nutriente9" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"141" "nutriente10" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"142" "nutriente11" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"143" "nutriente12" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"144" "nutriente13" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"145" "nutriente14" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"146" "nutriente15" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"147" "nutriente16" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"148" "nutriente17" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"149" "nutriente18" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
"150" "nutriente19" "Anderson-Darling" 3.7e-24 "Distribucion No normal"
